出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/01/03","113","3","4739","康普","4537670.00","5077534.00","9615204.00","2096166.00","1008213.00","3104379.00","1190293.00","--","3380397.00","1030268.00","-6604.00","-84658.00","5509696.00","--","--","1001129.00","6510825.00","0.00","0.00","2098495.00","47.12"
"114/01/03","113","3","4746","台耀","5585504.00","8353376.00","13938880.00","2624819.00","2578389.00","5203208.00","1202560.00","--","3773360.00","2779924.00","-8039.00","--","7747805.00","--","--","987867.00","8735672.00","0.00","0.00","0.00","64.43"
"114/01/03","113","3","4755","三福化","3251592.00","4584549.00","7836141.00","3090507.00","284734.00","3375241.00","1007060.00","--","419730.00","3029262.00","-41990.00","--","4414062.00","--","--","46838.00","4460900.00","--","0.00","0.00","43.83"
"114/01/03","113","3","4763","材料-KY","15181627.00","3615325.00","18796952.00","4940040.00","0.00","4940040.00","991717.00","--","3995876.00","8496130.00","224024.00","-25619.00","13682128.00","--","--","174784.00","13856912.00","--","0.00","257000.00","138.32"
"114/01/03","113","3","4764","雙鍵","2462744.00","2346664.00","4809408.00","1932898.00","660483.00","2593381.00","855421.00","--","356700.00","1016775.00","-19802.00","--","2209094.00","--","--","6933.00","2216027.00","--","0.00","0.00","25.82"
"114/01/03","113","3","4766","南寶","16322849.00","10680897.00","27003746.00","8026333.00","3613243.00","11639576.00","1205707.00","--","2122081.00","9138325.00","1426371.00","--","13892484.00","--","--","1471686.00","15364170.00","--","0.00","0.00","115.22"
"114/01/03","113","3","4770","上品","8380435.00","1952999.00","10333434.00","1947844.00","436339.00","2384183.00","799760.00","--","2044981.00","5032747.00","71763.00","--","7949251.00","--","--","--","7949251.00","--","0.00","0.00","99.40"
"114/01/03","113","3","4771","望隼","2264249.00","3525671.00","5789920.00","784598.00","1331596.00","2116194.00","579167.00","--","1826868.00","931523.00","29193.00","--","3366751.00","--","--","306975.00","3673726.00","--","0.00","0.00","58.13"
"114/01/03","113","3","4807","日成-KY","1168758.00","473050.00","1641808.00","719155.00","83365.00","802520.00","383960.00","--","375499.00","-25365.00","16318.00","--","750412.00","--","--","88876.00","839288.00","0.00","0.00","0.00","19.54"
"114/01/03","113","3","4904","遠傳","30840607.00","156597090.00","187437697.00","42191388.00","56662684.00","98854072.00","36057054.00","--","21257654.00","30206772.00","-155050.00","--","87366430.00","--","--","1217195.00","88583625.00","--","0.00","0.00","24.23"
